Nome;Simbolo;Preco;Max_24h;Min_24h;Variacao_%;Volatilidade_Valor
Bitcoin;btc;90869.0;94177.0;89426.0;-2.28308;4751.0
Ethereum;eth;3196.23;3432.93;3160.13;-5.60767;272.7999999999997
Tether;usdt;1.0;1.0;1.0;0.0005;0.0
XRP;xrp;2.02;2.1;1.99;-2.39841;0.1100000000000001
BNB;bnb;876.11;910.16;861.83;-2.88452;48.32999999999993
USDC;usdc;0.999803;1.0;0.998645;-0.02482;0.001354999999999995
Solana;sol;134.33;141.67;129.42;-2.83409;12.25
Lido Staked Ether;steth;3197.74;3427.64;3154.24;-5.61663;273.4000000000001
TRON;trx;0.280138;0.281577;0.278179;0.56162;0.003398000000000012
Dogecoin;doge;0.138716;0.149311;0.136566;-5.97784;0.012745000000000006
Cardano;ada;0.418987;0.470993;0.411054;-9.74245;0.05993900000000002
Figure Heloc;figr_heloc;1.032;1.035;1.02;1.1211;0.014999999999999902
WhiteBIT Coin;wbt;61.22;64.11;60.62;-3.87975;3.490000000000002
Wrapped stETH;wsteth;3912.63;4186.81;3856.29;-5.5039;330.52000000000044
Wrapped Bitcoin;wbtc;90792.0;93884.0;89217.0;-2.03151;4667.0
Wrapped Beacon ETH;wbeth;3472.49;3719.28;3427.04;-5.59285;292.24000000000024
Bitcoin Cash;bch;563.22;580.63;552.6;-2.34488;28.029999999999973
USDS;usds;0.999323;1.0;0.998773;-0.00202;0.001226999999999978
Chainlink;link;13.77;14.77;13.44;-4.85176;1.33
Wrapped eETH;weeth;3468.57;3718.73;3421.69;-5.3977;297.03999999999996
Binance Bridged USDT (BNB Smart Chain);bsc-usd;0.99986;1.001;0.996976;-0.057;0.0040239999999999165
LEO Token;leo;9.51;9.54;9.4;0.57754;0.1399999999999988
WETH;weth;3203.51;3432.63;3159.81;-5.45921;272.82000000000016
Stellar;xlm;0.241086;0.257889;0.239613;-5.20483;0.018275999999999987
Hyperliquid;hype;28.29;29.76;26.99;-3.89073;2.770000000000003
Monero;xmr;411.75;412.07;395.67;2.07726;16.399999999999977
Zcash;zec;459.94;464.25;391.86;7.75033;72.38999999999999
Coinbase Wrapped BTC;cbbtc;90986.0;94092.0;89539.0;-2.03902;4553.0
Ethena USDe;usde;0.999255;1.001;0.997945;-0.03861;0.003054999999999919
Litecoin;ltc;81.9;86.64;80.54;-4.3508;6.099999999999994
Sui;sui;1.57;1.7;1.53;-5.94968;0.16999999999999993
Avalanche;avax;13.31;14.68;12.92;-8.25013;1.7599999999999998
Hedera;hbar;0.129003;0.140966;0.12872;-7.10654;0.012246000000000007
Shiba Inu;shib;8.4e-06;8.89e-06;8.21e-06;-4.10175;6.800000000000003e-07
USDT0;usdt0;0.999788;1.002;0.998695;-0.04053;0.0033050000000000024
sUSDS;susds;1.079;1.098;1.064;-0.69025;0.03400000000000003
Dai;dai;1.0;1.002;0.998699;0.01593;0.0033009999999999984
World Liberty Financial;wlfi;0.146923;0.156544;0.144092;-5.00414;0.01245199999999999
Toncoin;ton;1.63;1.69;1.59;-3.04901;0.09999999999999987
PayPal USD;pyusd;0.99989;1.0;0.99914;0.01355;0.0008599999999999719
Mantle;mnt;1.15;1.18;1.12;-1.47021;0.05999999999999983
Cronos;cro;0.100203;0.106188;0.099391;-4.79084;0.006797000000000011
Ethena Staked USDe;susde;1.21;1.21;1.21;0.03898;0.0
Uniswap;uni;5.44;5.9;5.31;-6.04455;0.5900000000000007
Polkadot;dot;2.04;2.3;2.02;-9.81987;0.2799999999999998
Aave;aave;194.63;205.62;187.63;-3.89869;17.99000000000001
Bittensor;tao;290.46;309.43;280.68;-4.30466;28.75
USD1;usd1;0.999102;0.999671;0.998435;-0.00946;0.0012360000000000149
Canton;cc;0.073599;0.077316;0.072814;-1.82707;0.004501999999999992
Rain;rain;0.00771917;0.00811935;0.00759262;-4.10656;0.0005267299999999996
